Insee,"Code postal",Commune,"Nombre habitants",Rue,Ordures,"Horaires ordures",Recurrence,Tri,"Horaires tri",Recurrence
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALLAINVILLIERS (Passage) / entre Rue BALLAINVILLIERS et Rue Gilbert MOREL",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALLAINVILLIERS (Rue) / entre Rue Saint ESPRIT et Boulevard Léon MALFREYT",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALME (Rue Docteur Pierre) / entre Rue de la RODADE et Rue Docteur CLAUSSAT","Lundi - Jeudi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALZAC (Rue Honoré de) / entre Rue LECUELLE et Rue Simeoni le FLORENTIN",Jeudi,"05h00 / 07h30","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANCAL (Rue) / entre Rue Georges CLEMENCEAU et Mail d'ALLAGNAT",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANIER (Rue Abbé) / entre Rue Sainte CLAIRE et Rue Gaultier de BIAUZAT",Samedi,"14h00 / 21h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANSAC (Rue) / entre Place de SALFORD et Avenue CARNOT","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANVILLE (Rue Théodore de) / entre Rue Anatole FRANCE et Rue GUYNEMER","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARANTE (Rue de) / entre Rue de TARDIERES et Avenue deu LIMOUSIN",Jeudi,"05h00 / 07h30","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARBIER DAUBREE (Avenue) / entre Boulevard Jean-Baptiste DUMAS et Avenue Fernand FOREST","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARBUSSE (Rue Henri ) Impairs / entre Boulevard JB Dumas et Rue de BLANZAT","Mardi - Vendredi","05h00 / 12h00 - 05h00 / 12h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARBUSSE (Rue Henri) Pairs / entre Rue du CHAUFFOUR et Rue Henri Simon",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARBUSSE (Rue Henri) Pairs / entre Rue Henri Simon et Place des Carmes",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARDOUX (Rue) / entre Rue BRECHET et Boulevard LAFAYETTE","Mardi - Samedi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARGOIN (Rue) / entre Rue d'ENFER et Rue BARDOUX","Mardi - Samedi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARILLOT VEUVE COUPELON (Rue) / entre Avenue Marx DORMOY et Rue MARMONTEL","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARNIER (Rue) / entre Rue du PORT et Rue CLAUSSMANN",Samedi,"05h00 / 12h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARRE (Allée de la) / entre Cité de CHANTERANNE Avenue Fernand FOREST et Rue CHAMPFLEURI",Jeudi,"05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARRE (Rue de la) / entre Rue de CHAMPFLEURI et Hors Agglomération",Jeudi,"05h00 / 07h30","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARRIERE DE JAUDE (Rue) / entre Place de la RESISTANCE et Rue Eugène GILBERT","Mardi - Samedi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARRIERE DE JAUDE 2 / PARKING SOUTERRAIN",Samedi,"05h00 / 12h00","Semaine ",,,"Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARTAVELLES (Rue des) / Rue d'APOLLON (entre le n°116 et 118)",Jeudi,"05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARTHOLDI (Rue) / Rue FONTAINE du LARGE",Jeudi,"14h00 / 21h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARTHOU (Rue Louis) / entre Rue de VALLIERES et Avenue Marx DORMOY","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BAS CHAMPFLOUR (Rue du) / entre Boulevard Jean-Baptiste DUMAS et Rue CHAMPFLEURI",Jeudi,"05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BASCH (Rue Victor) / entre Boulevard LAFAYETTE et Rue Pierre DOUSSINET",Samedi,"05h00 / 12h00","Semaine ",Jeudi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BASTIE (Rue Maryse) / entre Rue de la PARLETTE et Rue de la SOURCE",Samedi,"05h00 / 12h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BATHOL (Rue Francisque) / entre Rue BELLIARD et Rue Docteur LEPETIT",Jeudi,"14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BAUDELAIRE (Rue) / entre Boulevard LOUCHEUR et Rue FLAMENG","Mercredi - Samedi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BAYARD (Rue) / entre Rue André THEURIET et Rue du MAISNIEL",Jeudi,"05h00 / 12h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAL (Impasse du) / entre Rue de PIERRE sur HAUTE et Impasse",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAUCAIRE (Rue de) / entre Rue de NARVIK et Rue d'AVIGNON",Mardi,"05h00 / 07h30","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAUJEU (Rue de) / entre Rue Jules GUESDE et et n° 5-7-8","Lundi - Jeudi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAUJEU (Rue de) / entre Rue Cardinal GIRAUD et Rue Jules GUESDE","Lundi - Jeudi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAUJEU (Rue de) / entre Rue KLEBER et ET n° 1-3-4","Lundi - Jeudi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAULIEU (Allée de) / entre Cité de l'ORADOU Allée TRAVERSIERE et Allée TRAVERSIERE",Samedi,"05h00 / 12h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAULIEU (Chemin du Domaine de) / entre Avenue du BREZET et Chemin de PUY LONG",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BEAULIEU (Chemin du grand) Ex CR 157 / entre Chemin des Ronzières et Domaine du Grand Beaulieu",Mardi,"14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
